"list","item_1_condition","field_1_1","item_2_condition","field_2_1","item_3_condition","field_3_1","item_4_condition","field_4_1","item_5_condition","field_5_1"
82,"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=631-acceptability=1","The ladies wonder whether the guest clearly should flee from the cashiers.","experiment=NPI-env=superlative-npi=any-crucial_item=best-licensor=1-scope=0-npi_present=1-paradigm=1388-acceptability=0","Any malls resemble the best school that guests had driven to.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=1795-acceptability=1","The adults say that the pedestrians scan the stories.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=adverbs-npi=ever-crucial_item=often-licensor=0-scope=1-npi_present=1-paradigm=945-acceptability=0","A pedestrian often ever explained that the children change."
83,"experiment=NPI-env=superlative-npi=any-crucial_item=best-licensor=1-scope=0-npi_present=1-paradigm=1388-acceptability=0","Any malls resemble the best school that guests had driven to.","experiment=NPI-env=adverbs-npi=ever-crucial_item=often-licensor=0-scope=1-npi_present=1-paradigm=945-acceptability=0","A pedestrian often ever explained that the children change.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=631-acceptability=1","The ladies wonder whether the guest clearly should flee from the cashiers.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=any-crucial_item=best-licensor=1-scope=0-npi_present=1-paradigm=1388-acceptability=0","Any malls resemble the best school that guests had driven to."
84,"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=1795-acceptability=1","The adults say that the pedestrians scan the stories.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=1795-acceptability=1","The adults say that the pedestrians scan the stories.","experiment=NPI-env=adverbs-npi=ever-crucial_item=often-licensor=0-scope=1-npi_present=1-paradigm=945-acceptability=0","A pedestrian often ever explained that the children change.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=631-acceptability=1","The ladies wonder whether the guest clearly should flee from the cashiers."
85,"experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=no-licensor=1-scope=1-npi_present=1-paradigm=5553-acceptability=1","No children should imagine that any actors weep.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=645-acceptability=1","The drivers wonder whether the man ever exited the libraries.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=1-paradigm=1595-acceptability=0","Any customers wonder whether the waiter does bike to college campuses.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=quantifier-npi=ever-crucial_item=the-licensor=0-scope=1-npi_present=1-paradigm=1048-acceptability=0","The actors who have ever attacked teenagers have bought more than three pants."
86,"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=645-acceptability=1","The drivers wonder whether the man ever exited the libraries.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=1-paradigm=1595-acceptability=0","Any customers wonder whether the waiter does bike to college campuses.","experiment=NPI-env=quantifier-npi=ever-crucial_item=the-licensor=0-scope=1-npi_present=1-paradigm=1048-acceptability=0","The actors who have ever attacked teenagers have bought more than three pants.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=no-licensor=1-scope=1-npi_present=1-paradigm=5553-acceptability=1","No children should imagine that any actors weep."
87,"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=1-paradigm=1595-acceptability=0","Any customers wonder whether the waiter does bike to college campuses.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=no-licensor=1-scope=1-npi_present=1-paradigm=5553-acceptability=1","No children should imagine that any actors weep.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=645-acceptability=1","The drivers wonder whether the man ever exited the libraries.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=1-paradigm=1595-acceptability=0","Any customers wonder whether the waiter does bike to college campuses."
88,"experiment=NPI-env=quantifier-npi=ever-crucial_item=the-licensor=0-scope=1-npi_present=1-paradigm=1048-acceptability=0","The actors who have ever attacked teenagers have bought more than three pants.","experiment=NPI-env=quantifier-npi=ever-crucial_item=the-licensor=0-scope=1-npi_present=1-paradigm=1048-acceptability=0","The actors who have ever attacked teenagers have bought more than three pants.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=no-licensor=1-scope=1-npi_present=1-paradigm=5553-acceptability=1","No children should imagine that any actors weep.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=645-acceptability=1","The drivers wonder whether the man ever exited the libraries."
89,"experiment=NPI-env=adverbs-npi=any-crucial_item=barely-licensor=1-scope=0-npi_present=0-paradigm=1754-acceptability=1","The student who should barely flee from fish should watch the people.","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=0-npi_present=0-paradigm=5892-acceptability=1","The teachers were saying that those children were not selling the pants.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=none of the-licensor=1-scope=0-npi_present=1-paradigm=5649-acceptability=0","Any actors would think that none of the plays have disagreed.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=no-licensor=1-scope=1-npi_present=1-paradigm=312-acceptability=1","No customer was ever thinking that the essays were criticizing the actors."
90,"experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=0-npi_present=0-paradigm=5892-acceptability=1","The teachers were saying that those children were not selling the pants.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=none of the-licensor=1-scope=0-npi_present=1-paradigm=5649-acceptability=0","Any actors would think that none of the plays have disagreed.","experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=no-licensor=1-scope=1-npi_present=1-paradigm=312-acceptability=1","No customer was ever thinking that the essays were criticizing the actors.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=adverbs-npi=any-crucial_item=barely-licensor=1-scope=0-npi_present=0-paradigm=1754-acceptability=1","The student who should barely flee from fish should watch the people."
91,"experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=none of the-licensor=1-scope=0-npi_present=1-paradigm=5649-acceptability=0","Any actors would think that none of the plays have disagreed.","experiment=NPI-env=adverbs-npi=any-crucial_item=barely-licensor=1-scope=0-npi_present=0-paradigm=1754-acceptability=1","The student who should barely flee from fish should watch the people.","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=0-npi_present=0-paradigm=5892-acceptability=1","The teachers were saying that those children were not selling the pants.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=none of the-licensor=1-scope=0-npi_present=1-paradigm=5649-acceptability=0","Any actors would think that none of the plays have disagreed."
92,"experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=no-licensor=1-scope=1-npi_present=1-paradigm=312-acceptability=1","No customer was ever thinking that the essays were criticizing the actors.","experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=no-licensor=1-scope=1-npi_present=1-paradigm=312-acceptability=1","No customer was ever thinking that the essays were criticizing the actors.","experiment=NPI-env=adverbs-npi=any-crucial_item=barely-licensor=1-scope=0-npi_present=0-paradigm=1754-acceptability=1","The student who should barely flee from fish should watch the people.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=0-npi_present=0-paradigm=5892-acceptability=1","The teachers were saying that those children were not selling the pants."
93,"experiment=NPI-env=adverbs-npi=ever-crucial_item=scarcely-licensor=1-scope=1-npi_present=0-paradigm=587-acceptability=1","The students scarcely fortunately imagine that a student painted.","experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=1-npi_present=1-paradigm=511-acceptability=1","If the man ever loves the people, the boys will love the actors.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=1-paradigm=1850-acceptability=0","Any dancers wonder whether the person will listen to customers.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=1-npi_present=0-paradigm=1236-acceptability=1","If the cashiers boycott those cafes, the customer will return to the restaurants."
94,"experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=1-npi_present=1-paradigm=511-acceptability=1","If the man ever loves the people, the boys will love the actors.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=1-paradigm=1850-acceptability=0","Any dancers wonder whether the person will listen to customers.","experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=1-npi_present=0-paradigm=1236-acceptability=1","If the cashiers boycott those cafes, the customer will return to the restaurants.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=adverbs-npi=ever-crucial_item=scarcely-licensor=1-scope=1-npi_present=0-paradigm=587-acceptability=1","The students scarcely fortunately imagine that a student painted."
95,"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=1-paradigm=1850-acceptability=0","Any dancers wonder whether the person will listen to customers.","experiment=NPI-env=adverbs-npi=ever-crucial_item=scarcely-licensor=1-scope=1-npi_present=0-paradigm=587-acceptability=1","The students scarcely fortunately imagine that a student painted.","experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=1-npi_present=1-paradigm=511-acceptability=1","If the man ever loves the people, the boys will love the actors.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=1-paradigm=1850-acceptability=0","Any dancers wonder whether the person will listen to customers."
96,"experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=1-npi_present=0-paradigm=1236-acceptability=1","If the cashiers boycott those cafes, the customer will return to the restaurants.","experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=1-npi_present=0-paradigm=1236-acceptability=1","If the cashiers boycott those cafes, the customer will return to the restaurants.","experiment=NPI-env=adverbs-npi=ever-crucial_item=scarcely-licensor=1-scope=1-npi_present=0-paradigm=587-acceptability=1","The students scarcely fortunately imagine that a student painted.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=1-npi_present=1-paradigm=511-acceptability=1","If the man ever loves the people, the boys will love the actors."
97,"experiment=NPI-env=adverbs-npi=any-crucial_item=seldom-licensor=1-scope=0-npi_present=0-paradigm=1964-acceptability=1","The teacher who seldom passes hospitals boycotted the college campuses.","experiment=NPI-env=quantifier-npi=ever-crucial_item=some-licensor=0-scope=0-npi_present=1-paradigm=1644-acceptability=0","Some guy who talked about reports ever passed more than three art galleries.","experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=0-npi_present=0-paradigm=552-acceptability=1","The children have clearly said that some children could marry.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=any-crucial_item=fast-licensor=0-scope=1-npi_present=1-paradigm=1547-acceptability=0","The pedestrians can respect the fast people that any ladies have observed."
98,"experiment=NPI-env=quantifier-npi=ever-crucial_item=some-licensor=0-scope=0-npi_present=1-paradigm=1644-acceptability=0","Some guy who talked about reports ever passed more than three art galleries.","experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=0-npi_present=0-paradigm=552-acceptability=1","The children have clearly said that some children could marry.","experiment=NPI-env=superlative-npi=any-crucial_item=fast-licensor=0-scope=1-npi_present=1-paradigm=1547-acceptability=0","The pedestrians can respect the fast people that any ladies have observed.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=adverbs-npi=any-crucial_item=seldom-licensor=1-scope=0-npi_present=0-paradigm=1964-acceptability=1","The teacher who seldom passes hospitals boycotted the college campuses."
99,"experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=0-npi_present=0-paradigm=552-acceptability=1","The children have clearly said that some children could marry.","experiment=NPI-env=adverbs-npi=any-crucial_item=seldom-licensor=1-scope=0-npi_present=0-paradigm=1964-acceptability=1","The teacher who seldom passes hospitals boycotted the college campuses.","experiment=NPI-env=quantifier-npi=ever-crucial_item=some-licensor=0-scope=0-npi_present=1-paradigm=1644-acceptability=0","Some guy who talked about reports ever passed more than three art galleries.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=0-npi_present=0-paradigm=552-acceptability=1","The children have clearly said that some children could marry."
100,"experiment=NPI-env=superlative-npi=any-crucial_item=fast-licensor=0-scope=1-npi_present=1-paradigm=1547-acceptability=0","The pedestrians can respect the fast people that any ladies have observed.","experiment=NPI-env=superlative-npi=any-crucial_item=fast-licensor=0-scope=1-npi_present=1-paradigm=1547-acceptability=0","The pedestrians can respect the fast people that any ladies have observed.","experiment=NPI-env=adverbs-npi=any-crucial_item=seldom-licensor=1-scope=0-npi_present=0-paradigm=1964-acceptability=1","The teacher who seldom passes hospitals boycotted the college campuses.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=quantifier-npi=ever-crucial_item=some-licensor=0-scope=0-npi_present=1-paradigm=1644-acceptability=0","Some guy who talked about reports ever passed more than three art galleries."
101,"experiment=NPI-env=quantifier-npi=any-crucial_item=some-licensor=0-scope=1-npi_present=0-paradigm=941-acceptability=1","Some cashiers who had visited these men do run around many high schools.","experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=1-npi_present=1-paradigm=416-acceptability=1","If the ladies ever praise the women, the teacher will drive to the schools.","experiment=NPI-env=only-npi=any-crucial_item=even-licensor=0-scope=1-npi_present=1-paradigm=1618-acceptability=0","Even the students scan any movies.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=1-scope=1-npi_present=1-paradigm=1825-acceptability=1","Did the guest discuss any art galleries?"
102,"experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=1-npi_present=1-paradigm=416-acceptability=1","If the ladies ever praise the women, the teacher will drive to the schools.","experiment=NPI-env=only-npi=any-crucial_item=even-licensor=0-scope=1-npi_present=1-paradigm=1618-acceptability=0","Even the students scan any movies.","experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=1-scope=1-npi_present=1-paradigm=1825-acceptability=1","Did the guest discuss any art galleries?","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=quantifier-npi=any-crucial_item=some-licensor=0-scope=1-npi_present=0-paradigm=941-acceptability=1","Some cashiers who had visited these men do run around many high schools."
103,"experiment=NPI-env=only-npi=any-crucial_item=even-licensor=0-scope=1-npi_present=1-paradigm=1618-acceptability=0","Even the students scan any movies.","experiment=NPI-env=quantifier-npi=any-crucial_item=some-licensor=0-scope=1-npi_present=0-paradigm=941-acceptability=1","Some cashiers who had visited these men do run around many high schools.","experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=1-npi_present=1-paradigm=416-acceptability=1","If the ladies ever praise the women, the teacher will drive to the schools.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=only-npi=any-crucial_item=even-licensor=0-scope=1-npi_present=1-paradigm=1618-acceptability=0","Even the students scan any movies."
104,"experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=1-scope=1-npi_present=1-paradigm=1825-acceptability=1","Did the guest discuss any art galleries?","experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=1-scope=1-npi_present=1-paradigm=1825-acceptability=1","Did the guest discuss any art galleries?","experiment=NPI-env=quantifier-npi=any-crucial_item=some-licensor=0-scope=1-npi_present=0-paradigm=941-acceptability=1","Some cashiers who had visited these men do run around many high schools.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=1-npi_present=1-paradigm=416-acceptability=1","If the ladies ever praise the women, the teacher will drive to the schools."
105,"experiment=NPI-env=superlative-npi=ever-crucial_item=happy-licensor=0-scope=1-npi_present=1-paradigm=407-acceptability=0","The customers had investigated the happy waitresses that the lady has ever criticized.","experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=1-scope=1-npi_present=0-paradigm=1980-acceptability=1","Had the doctors seen those teenagers?","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=0-npi_present=0-paradigm=5302-acceptability=1","The guests did say that the restaurants will really resemble the reports.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=quantifier-npi=ever-crucial_item=all-licensor=1-scope=0-npi_present=0-paradigm=1252-acceptability=1","All women who talked about more than three public parks have fortunately passed the museums."
106,"experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=1-scope=1-npi_present=0-paradigm=1980-acceptability=1","Had the doctors seen those teenagers?","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=0-npi_present=0-paradigm=5302-acceptability=1","The guests did say that the restaurants will really resemble the reports.","experiment=NPI-env=quantifier-npi=ever-crucial_item=all-licensor=1-scope=0-npi_present=0-paradigm=1252-acceptability=1","All women who talked about more than three public parks have fortunately passed the museums.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=ever-crucial_item=happy-licensor=0-scope=1-npi_present=1-paradigm=407-acceptability=0","The customers had investigated the happy waitresses that the lady has ever criticized."
107,"experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=0-npi_present=0-paradigm=5302-acceptability=1","The guests did say that the restaurants will really resemble the reports.","experiment=NPI-env=superlative-npi=ever-crucial_item=happy-licensor=0-scope=1-npi_present=1-paradigm=407-acceptability=0","The customers had investigated the happy waitresses that the lady has ever criticized.","experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=1-scope=1-npi_present=0-paradigm=1980-acceptability=1","Had the doctors seen those teenagers?","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=0-npi_present=0-paradigm=5302-acceptability=1","The guests did say that the restaurants will really resemble the reports."
108,"experiment=NPI-env=quantifier-npi=ever-crucial_item=all-licensor=1-scope=0-npi_present=0-paradigm=1252-acceptability=1","All women who talked about more than three public parks have fortunately passed the museums.","experiment=NPI-env=quantifier-npi=ever-crucial_item=all-licensor=1-scope=0-npi_present=0-paradigm=1252-acceptability=1","All women who talked about more than three public parks have fortunately passed the museums.","experiment=NPI-env=superlative-npi=ever-crucial_item=happy-licensor=0-scope=1-npi_present=1-paradigm=407-acceptability=0","The customers had investigated the happy waitresses that the lady has ever criticized.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=1-scope=1-npi_present=0-paradigm=1980-acceptability=1","Had the doctors seen those teenagers?"
109,"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=1267-acceptability=1","These guys say that the actors are helping the students.","experiment=NPI-env=adverbs-npi=any-crucial_item=sometimes-licensor=0-scope=1-npi_present=0-paradigm=1051-acceptability=1","The dancer who should sometimes go to the art galleries sees men.","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=0-npi_present=1-paradigm=5556-acceptability=0","Any boys have thought that those women will really react.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=quantifier-npi=any-crucial_item=-licensor=0-scope=0-npi_present=1-paradigm=116-acceptability=0","Women who should go to a lot of college campuses boycott any high schools."
110,"experiment=NPI-env=adverbs-npi=any-crucial_item=sometimes-licensor=0-scope=1-npi_present=0-paradigm=1051-acceptability=1","The dancer who should sometimes go to the art galleries sees men.","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=0-npi_present=1-paradigm=5556-acceptability=0","Any boys have thought that those women will really react.","experiment=NPI-env=quantifier-npi=any-crucial_item=-licensor=0-scope=0-npi_present=1-paradigm=116-acceptability=0","Women who should go to a lot of college campuses boycott any high schools.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=1267-acceptability=1","These guys say that the actors are helping the students."
111,"experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=0-npi_present=1-paradigm=5556-acceptability=0","Any boys have thought that those women will really react.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=1267-acceptability=1","These guys say that the actors are helping the students.","experiment=NPI-env=adverbs-npi=any-crucial_item=sometimes-licensor=0-scope=1-npi_present=0-paradigm=1051-acceptability=1","The dancer who should sometimes go to the art galleries sees men.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=0-npi_present=1-paradigm=5556-acceptability=0","Any boys have thought that those women will really react."
112,"experiment=NPI-env=quantifier-npi=any-crucial_item=-licensor=0-scope=0-npi_present=1-paradigm=116-acceptability=0","Women who should go to a lot of college campuses boycott any high schools.","experiment=NPI-env=quantifier-npi=any-crucial_item=-licensor=0-scope=0-npi_present=1-paradigm=116-acceptability=0","Women who should go to a lot of college campuses boycott any high schools.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=1267-acceptability=1","These guys say that the actors are helping the students.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=adverbs-npi=any-crucial_item=sometimes-licensor=0-scope=1-npi_present=0-paradigm=1051-acceptability=1","The dancer who should sometimes go to the art galleries sees men."
113,"experiment=NPI-env=quantifier-npi=ever-crucial_item=more than three-licensor=0-scope=0-npi_present=1-paradigm=1912-acceptability=0","More than three pedestrians who praise a lot of essays have ever driven to museums.","experiment=NPI-env=adverbs-npi=any-crucial_item=hardly-licensor=1-scope=0-npi_present=0-paradigm=1279-acceptability=1","A pedestrian who hardly does investigate waitresses will take the cups.","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=1-npi_present=0-paradigm=5326-acceptability=1","Those women were really explaining that these adults did chat.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=1-npi_present=1-paradigm=873-acceptability=1","Every actor who explored any cafes is wearing many glasses."
114,"experiment=NPI-env=adverbs-npi=any-crucial_item=hardly-licensor=1-scope=0-npi_present=0-paradigm=1279-acceptability=1","A pedestrian who hardly does investigate waitresses will take the cups.","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=1-npi_present=0-paradigm=5326-acceptability=1","Those women were really explaining that these adults did chat.","experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=1-npi_present=1-paradigm=873-acceptability=1","Every actor who explored any cafes is wearing many glasses.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=quantifier-npi=ever-crucial_item=more than three-licensor=0-scope=0-npi_present=1-paradigm=1912-acceptability=0","More than three pedestrians who praise a lot of essays have ever driven to museums."
115,"experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=1-npi_present=0-paradigm=5326-acceptability=1","Those women were really explaining that these adults did chat.","experiment=NPI-env=quantifier-npi=ever-crucial_item=more than three-licensor=0-scope=0-npi_present=1-paradigm=1912-acceptability=0","More than three pedestrians who praise a lot of essays have ever driven to museums.","experiment=NPI-env=adverbs-npi=any-crucial_item=hardly-licensor=1-scope=0-npi_present=0-paradigm=1279-acceptability=1","A pedestrian who hardly does investigate waitresses will take the cups.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=1-npi_present=0-paradigm=5326-acceptability=1","Those women were really explaining that these adults did chat."
116,"experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=1-npi_present=1-paradigm=873-acceptability=1","Every actor who explored any cafes is wearing many glasses.","experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=1-npi_present=1-paradigm=873-acceptability=1","Every actor who explored any cafes is wearing many glasses.","experiment=NPI-env=quantifier-npi=ever-crucial_item=more than three-licensor=0-scope=0-npi_present=1-paradigm=1912-acceptability=0","More than three pedestrians who praise a lot of essays have ever driven to museums.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=adverbs-npi=any-crucial_item=hardly-licensor=1-scope=0-npi_present=0-paradigm=1279-acceptability=1","A pedestrian who hardly does investigate waitresses will take the cups."
117,"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=890-acceptability=0","The students ever say that the patient does help the waiters.","experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=0-npi_present=1-paradigm=275-acceptability=0","The pedestrians could ever say that the children could really arrive at the college campus.","experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=0-npi_present=1-paradigm=1132-acceptability=0","If the adults hug the doctors, the lady will run around any art galleries.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=quantifier-npi=any-crucial_item=a-licensor=0-scope=0-npi_present=1-paradigm=578-acceptability=0","A waitress who had bought some shoes cared for any boys."
118,"experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=0-npi_present=1-paradigm=275-acceptability=0","The pedestrians could ever say that the children could really arrive at the college campus.","experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=0-npi_present=1-paradigm=1132-acceptability=0","If the adults hug the doctors, the lady will run around any art galleries.","experiment=NPI-env=quantifier-npi=any-crucial_item=a-licensor=0-scope=0-npi_present=1-paradigm=578-acceptability=0","A waitress who had bought some shoes cared for any boys.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=890-acceptability=0","The students ever say that the patient does help the waiters."
