""	"metadata"	"experiment"	"environment"	"npi"	"crucial_item"	"licensor"	"scope"	"npi_present"	"paradigm"	"acceptability"	"sentence"	"rand_int"
"200"	"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=515"	"NPI"	"questions"	"ever"	"whether"	"1"	"1"	"0"	"515"	1	"The adults wonder whether the guest often should explore the cafes."	136
"201"	"experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=0-scope=1-npi_present=1-paradigm=2359"	"NPI"	"simplequestions"	"any"	"?"	"0"	"1"	"1"	"2359"	0	"The children can clean any books."	136
"202"	"experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=no-licensor=1-scope=0-npi_present=1-paradigm=5414"	"NPI"	"determiner_negation_biclausal"	"any"	"no"	"1"	"0"	"1"	"5414"	0	"Just as the child said, any women are explaining that no plays referenced the waitresses."	137
"212"	"experiment=NPI-env=adverbs-npi=any-crucial_item=often-licensor=0-scope=0-npi_present=0-paradigm=1924"	"NPI"	"adverbs"	"any"	"often"	"0"	"0"	"0"	"1924"	1	"The waiters who had often remembered patients leave those dancers."	144
"220"	"experiment=NPI-env=only-npi=any-crucial_item=_-licensor=0-scope=0-npi_present=0-paradigm=1013"	"NPI"	"only"	"any"	"_"	"0"	"0"	"0"	"1013"	1	"According to the waiter, these teachers even were skated around the banks."	148
"221"	"experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=0-npi_present=1-paradigm=499"	"NPI"	"quantifier"	"any"	"every"	"1"	"0"	"1"	"499"	0	"Every waitress who was working with more than three dancers was passing any museums."	148
"223"	"experiment=NPI-env=adverbs-npi=any-crucial_item=often-licensor=0-scope=1-npi_present=0-paradigm=1558"	"NPI"	"adverbs"	"any"	"often"	"0"	"1"	"0"	"1558"	1	"The actresses who often liked those drivers described children."	155
"226"	"experiment=NPI-env=quantifier-npi=ever-crucial_item=the-licensor=0-scope=0-npi_present=1-paradigm=1017"	"NPI"	"quantifier"	"ever"	"the"	"0"	"0"	"1"	"1017"	0	"The girl who cleaned some gloves ever toured a lot of schools."	158
"231"	"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=64"	"NPI"	"questions"	"ever"	"whether"	"0"	"0"	"0"	"64"	1	"The customers clearly say that the teenagers described the children."	162
"246"	"experiment=NPI-env=adverbs-npi=ever-crucial_item=rarely-licensor=1-scope=1-npi_present=1-paradigm=409"	"NPI"	"adverbs"	"ever"	"rarely"	"1"	"1"	"1"	"409"	1	"The girls rarely ever say that the drivers cook."	171
"253"	"experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=1-npi_present=1-paradigm=243"	"NPI"	"conditional"	"ever"	"while"	"0"	"1"	"1"	"243"	0	"While the guest ever works with the doctors, the waitresses will talk about the women."	177
"255"	"experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=0-npi_present=0-paradigm=1415"	"NPI"	"conditional"	"any"	"if"	"1"	"0"	"0"	"1415"	1	"If the doctors bike to the schools, the guest will respect those guys."	178
"257"	"experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=0-npi_present=0-paradigm=1992"	"NPI"	"conditional"	"any"	"while"	"0"	"0"	"0"	"1992"	1	"While the cashier hugs the cashiers, the ladies will examine those reports."	180
"287"	"experiment=NPI-env=only-npi=any-crucial_item=_-licensor=0-scope=0-npi_present=1-paradigm=1747"	"NPI"	"only"	"any"	"_"	"0"	"0"	"1"	"1747"	0	"As the patient knows, any children even have escaped from the actors."	201
"291"	"experiment=NPI-env=adverbs-npi=any-crucial_item=hardly-licensor=1-scope=1-npi_present=1-paradigm=1821"	"NPI"	"adverbs"	"any"	"hardly"	"1"	"1"	"1"	"1821"	1	"The cashiers who hardly sell any forks took cups."	203
"296"	"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=892"	"NPI"	"questions"	"ever"	"whether"	"1"	"1"	"1"	"892"	1	"The dancers wonder whether the students ever could care for the drivers."	210
"328"	"experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=1-npi_present=1-paradigm=498"	"NPI"	"sentential_negation_biclausal"	"ever"	"really"	"0"	"1"	"1"	"498"	0	"A dancer had really ever thought that a person did respect a guy."	235
"341"	"experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=0-npi_present=0-paradigm=229"	"NPI"	"determiner_negation_biclausal"	"ever"	"some"	"0"	"0"	"0"	"229"	1	"From what the man heard, the dancer had often thought that some men interacted."	244
"352"	"experiment=NPI-env=only-npi=any-crucial_item=_-licensor=0-scope=1-npi_present=0-paradigm=1231"	"NPI"	"only"	"any"	"_"	"0"	"1"	"0"	"1231"	1	"In the driver's opinion, even the dancers had driven to these hospitals."	249
"373"	"experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=1-scope=0-npi_present=0-paradigm=124"	"NPI"	"only"	"ever"	"_"	"1"	"0"	"0"	"124"	1	"According to the pedestrian, the guys had certainly skated around only the cafes."	263
"396"	"experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=1-npi_present=0-paradigm=431"	"NPI"	"conditional"	"ever"	"while"	"0"	"1"	"0"	"431"	1	"While the teenager clearly bikes to the grocery stores, the person will pass the restaurants."	275
"449"	"experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=no-licensor=1-scope=0-npi_present=1-paradigm=55"	"NPI"	"determiner_negation_biclausal"	"ever"	"no"	"1"	"0"	"1"	"55"	0	"In the teacher's opinion, an actor can ever say that no glasses had shrunk."	317
"482"	"experiment=NPI-env=adverbs-npi=any-crucial_item=hardly-licensor=1-scope=1-npi_present=0-paradigm=1209"	"NPI"	"adverbs"	"any"	"hardly"	"1"	"1"	"0"	"1209"	1	"The child who hardly respected the art galleries had admired actors."	345
"483"	"experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=no-licensor=1-scope=0-npi_present=0-paradigm=5589"	"NPI"	"determiner_negation_biclausal"	"any"	"no"	"1"	"0"	"0"	"5589"	1	"As the lady knows, the children were explaining that no adults whispered."	345
"502"	"experiment=NPI-env=only-npi=any-crucial_item=_-licensor=0-scope=1-npi_present=1-paradigm=1715"	"NPI"	"only"	"any"	"_"	"0"	"1"	"1"	"1715"	0	"From what the pedestrian heard, even the doctors should forget any guys."	357
"577"	"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=1213"	"NPI"	"questions"	"any"	"whether"	"0"	"1"	"0"	"1213"	1	"The women say that the patients are criticizing the teenagers."	406
"682"	"experiment=NPI-env=superlative-npi=any-crucial_item=most important-licensor=1-scope=1-npi_present=1-paradigm=1143"	"NPI"	"superlative"	"any"	"most important"	"1"	"1"	"1"	"1143"	1	"The men have hugged the most important teachers that any people have returned to."	486
"696"	"experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=1-npi_present=1-paradigm=5345"	"NPI"	"sentential_negation_biclausal"	"any"	"really"	"0"	"1"	"1"	"5345"	0	"These boys had really said that any shoes do shrink."	498
"115"	"experiment=NPI-env=adverbs-npi=ever-crucial_item=always-licensor=0-scope=1-npi_present=0-paradigm=122"	"NPI"	"adverbs"	"ever"	"always"	"0"	"1"	"0"	"122"	1	"The guys always clearly explain that the dancers scream."	4
"213"	"experiment=NPI-env=superlative-npi=ever-crucial_item=big-licensor=0-scope=1-npi_present=0-paradigm=879"	"NPI"	"superlative"	"ever"	"big"	"0"	"1"	"0"	"879"	1	"The adults sold the big rug that the customers had often admired."	14
"310"	"experiment=NPI-env=quantifier-npi=ever-crucial_item=the-licensor=0-scope=1-npi_present=0-paradigm=1889"	"NPI"	"quantifier"	"ever"	"the"	"0"	"1"	"0"	"1889"	1	"The customer who obviously investigated a lot of waiters sees some plates."	19
"410"	"experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=1-scope=1-npi_present=0-paradigm=93"	"NPI"	"simplequestions"	"ever"	"?"	"1"	"1"	"0"	"93"	1	"Was the pedestrian often listening to the customers?"	19
"612"	"experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=0-npi_present=0-paradigm=5277"	"NPI"	"determiner_negation_biclausal"	"any"	"some"	"0"	"0"	"0"	"5277"	1	"As the customer knows, the children will explain that some senators sell the chairs."	21
"76"	"experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=0-scope=1-npi_present=1-paradigm=353"	"NPI"	"only"	"ever"	"_"	"0"	"1"	"1"	"353"	0	"In the waiter's opinion, even the actresses can ever admire the guests."	24
"810"	"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=1-npi_present=1-paradigm=260"	"NPI"	"questions"	"ever"	"whether"	"0"	"1"	"1"	"260"	0	"The students say that the children ever escaped from the men."	34
"9"	"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=1355"	"NPI"	"questions"	"any"	"whether"	"0"	"0"	"0"	"1355"	1	"These drivers say that the cashier is breaking the plates."	37
"106"	"experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=0-npi_present=1-paradigm=275"	"NPI"	"conditional"	"ever"	"while"	"0"	"0"	"1"	"275"	0	"While the teacher walks through the movie theaters, the actresses will ever like the drivers."	48
"117"	"experiment=NPI-env=quantifier-npi=any-crucial_item=all-licensor=1-scope=0-npi_present=0-paradigm=756"	"NPI"	"quantifier"	"any"	"all"	"1"	"0"	"0"	"756"	1	"All pedestrians who went to a lot of public parks talked about those teenagers."	48
"1210"	"experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=1-npi_present=1-paradigm=5178"	"NPI"	"sentential_negation_biclausal"	"any"	"not"	"1"	"1"	"1"	"5178"	1	"The girls are not thinking that any plays could describe the drivers."	48
"132"	"experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=1-npi_present=0-paradigm=180"	"NPI"	"determiner_negation_biclausal"	"ever"	"some"	"0"	"1"	"0"	"180"	1	"From what the cashier heard, some waitress should also imagine that the doctors do drink."	53
"153"	"experiment=NPI-env=superlative-npi=any-crucial_item=happy-licensor=0-scope=0-npi_present=1-paradigm=1372"	"NPI"	"superlative"	"any"	"happy"	"0"	"0"	"1"	"1372"	0	"Any teenagers admire the happy lady that dancers have kissed."	53
"162"	"experiment=NPI-env=superlative-npi=any-crucial_item=bad-licensor=0-scope=0-npi_present=0-paradigm=1256"	"NPI"	"superlative"	"any"	"bad"	"0"	"0"	"0"	"1256"	1	"These girls leave the bad pedestrians that actresses have seen."	55
"185"	"experiment=NPI-env=quantifier-npi=ever-crucial_item=many-licensor=0-scope=0-npi_present=0-paradigm=1527"	"NPI"	"quantifier"	"ever"	"many"	"0"	"0"	"0"	"1527"	1	"Many boys who had walked through more than three high schools clearly knew more than three senators."	56
"19"	"experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=no-licensor=1-scope=1-npi_present=1-paradigm=5033"	"NPI"	"determiner_negation_biclausal"	"any"	"no"	"1"	"1"	"1"	"5033"	1	"From what the woman heard, no men thought that any documentaries had insulted the library."	58
"204"	"experiment=NPI-env=adverbs-npi=ever-crucial_item=often-licensor=0-scope=1-npi_present=1-paradigm=994"	"NPI"	"adverbs"	"ever"	"often"	"0"	"1"	"1"	"994"	0	"The cashier often ever thinks that the doctors can discuss the alumnus."	59
"23"	"experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=1-npi_present=1-paradigm=1021"	"NPI"	"conditional"	"any"	"if"	"1"	"1"	"1"	"1021"	1	"If the woman scans any stories, the patient will arrive at the schools."	64
"242"	"experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=0-npi_present=1-paradigm=262"	"NPI"	"determiner_negation_biclausal"	"ever"	"some"	"0"	"0"	"1"	"262"	0	"Just as the patient said, a senator ever did imagine that some teenagers saluted."	65
"26"	"experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=0-scope=1-npi_present=0-paradigm=392"	"NPI"	"simplequestions"	"ever"	"?"	"0"	"1"	"0"	"392"	1	"The children have clearly explored the malls."	66
"272"	"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=1-npi_present=1-paradigm=1006"	"NPI"	"questions"	"any"	"whether"	"0"	"1"	"1"	"1006"	0	"The adults say that the children see any dancers."	68
"28"	"experiment=NPI-env=adverbs-npi=ever-crucial_item=scarcely-licensor=1-scope=0-npi_present=0-paradigm=403"	"NPI"	"adverbs"	"ever"	"scarcely"	"1"	"0"	"0"	"403"	1	"The boys obviously think that a student might scarcely study."	75
"301"	"experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=0-npi_present=1-paradigm=5570"	"NPI"	"determiner_negation_biclausal"	"any"	"some"	"0"	"0"	"1"	"5570"	0	"Just as the person said, any ladies have thought that some essays discussed a dancer."	78
"311"	"experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=0-scope=1-npi_present=0-paradigm=806"	"NPI"	"only"	"ever"	"_"	"0"	"1"	"0"	"806"	1	"In the man's opinion, even the guests can really buy the reports."	83
"323"	"experiment=NPI-env=superlative-npi=any-crucial_item=most serious-licensor=1-scope=1-npi_present=0-paradigm=1571"	"NPI"	"superlative"	"any"	"most serious"	"1"	"1"	"0"	"1571"	1	"The movies have discussed the most serious boys that the waiters have kissed."	83
"351"	"experiment=NPI-env=adverbs-npi=ever-crucial_item=sometimes-licensor=0-scope=0-npi_present=1-paradigm=831"	"NPI"	"adverbs"	"ever"	"sometimes"	"0"	"0"	"1"	"831"	0	"The person ever thought that the men had sometimes debated."	88
"371"	"experiment=NPI-env=quantifier-npi=any-crucial_item=a-licensor=0-scope=0-npi_present=0-paradigm=390"	"NPI"	"quantifier"	"any"	"a"	"0"	"0"	"0"	"390"	1	"A child who exits some grocery stores is talking about the stories."	89
"381"	"experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=0-scope=1-npi_present=1-paradigm=506"	"NPI"	"simplequestions"	"ever"	"?"	"0"	"1"	"1"	"506"	0	"The waitress has ever worn the gloves."	90
"39"	"experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=1-scope=1-npi_present=0-paradigm=3177"	"NPI"	"simplequestions"	"any"	"?"	"1"	"1"	"0"	"3177"	1	"Had the students taken these cups?"	90
"401"	"experiment=NPI-env=adverbs-npi=any-crucial_item=rarely-licensor=1-scope=0-npi_present=1-paradigm=1031"	"NPI"	"adverbs"	"any"	"rarely"	"1"	"0"	"1"	"1031"	0	"The girl who has rarely kissed people might examine any books."	91
"412"	"experiment=NPI-env=quantifier-npi=any-crucial_item=a-licensor=0-scope=0-npi_present=1-paradigm=131"	"NPI"	"quantifier"	"any"	"a"	"0"	"0"	"1"	"131"	0	"A senator who passed more than three banks has biked to any public parks."	91
"421"	"experiment=NPI-env=quantifier-npi=any-crucial_item=-licensor=0-scope=1-npi_present=1-paradigm=580"	"NPI"	"quantifier"	"any"	""	"0"	"1"	"1"	"580"	0	"Teenagers who might describe any men work with the waitresses."	92
"431"	"experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=1-npi_present=1-paradigm=191"	"NPI"	"sentential_negation_biclausal"	"ever"	"not"	"1"	"1"	"1"	"191"	1	"The guys will not ever think that the people will take the dishes."	92
"45"	"experiment=NPI-env=adverbs-npi=ever-crucial_item=scarcely-licensor=1-scope=1-npi_present=0-paradigm=51"	"NPI"	"adverbs"	"ever"	"scarcely"	"1"	"1"	"0"	"51"	1	"A cashier scarcely also explains that a teenager referenced the customer."	94
"472"	"experiment=NPI-env=superlative-npi=any-crucial_item=nice-licensor=0-scope=1-npi_present=1-paradigm=1923"	"NPI"	"superlative"	"any"	"nice"	"0"	"1"	"1"	"1923"	0	"The men should approach the nice guests that any people have observed."	95
"491"	"experiment=NPI-env=adverbs-npi=any-crucial_item=often-licensor=0-scope=0-npi_present=1-paradigm=1390"	"NPI"	"adverbs"	"any"	"often"	"0"	"0"	"1"	"1390"	0	"A waiter who often kisses children had walked through any restaurants."	96
"50"	"experiment=NPI-env=adverbs-npi=any-crucial_item=sometimes-licensor=0-scope=1-npi_present=1-paradigm=1217"	"NPI"	"adverbs"	"any"	"sometimes"	"0"	"1"	"1"	"1217"	0	"The drivers who would sometimes go to any libraries had discussed high schools."	98
"52"	"experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=no-licensor=1-scope=1-npi_present=0-paradigm=864"	"NPI"	"determiner_negation_biclausal"	"ever"	"no"	"1"	"1"	"0"	"864"	1	"As the student knows, no actor had certainly imagined that the customers wave."	99
"551"	"experiment=NPI-env=only-npi=any-crucial_item=_-licensor=1-scope=1-npi_present=0-paradigm=1634"	"NPI"	"only"	"any"	"_"	"1"	"1"	"0"	"1634"	1	"According to the adult, only the waiters explore the art galleries."	107
"561"	"experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=1-npi_present=1-paradigm=5110"	"NPI"	"determiner_negation_biclausal"	"any"	"some"	"0"	"1"	"1"	"5110"	0	"According to the person, some ladies were explaining that any documentaries referenced the waitress."	108
"571"	"experiment=NPI-env=only-npi=any-crucial_item=_-licensor=1-scope=0-npi_present=1-paradigm=1169"	"NPI"	"only"	"any"	"_"	"1"	"0"	"1"	"1169"	0	"In the dancer's opinion, any waitresses only could sell the plates."	109
"591"	"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=708"	"NPI"	"questions"	"ever"	"whether"	"0"	"0"	"1"	"708"	0	"The guests ever say that the boy sells the shoes."	109
"642"	"experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=1-npi_present=1-paradigm=701"	"NPI"	"determiner_negation_biclausal"	"ever"	"some"	"0"	"1"	"1"	"701"	0	"Just as the guest said, some student should ever say that the glasses shrank."	113
"65"	"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=1202"	"NPI"	"questions"	"any"	"whether"	"1"	"1"	"1"	"1202"	1	"The people wonder whether the actor is kissing any pedestrians."	113
"67"	"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=20"	"NPI"	"questions"	"ever"	"whether"	"1"	"0"	"0"	"20"	1	"The cashiers obviously wonder whether the actress has cared for the guys."	114
"72"	"experiment=NPI-env=superlative-npi=any-crucial_item=worst-licensor=1-scope=0-npi_present=1-paradigm=1606"	"NPI"	"superlative"	"any"	"worst"	"1"	"0"	"1"	"1606"	0	"Any patients lifted the worst rug that actresses had sold."	117
"731"	"experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=1-npi_present=1-paradigm=222"	"NPI"	"conditional"	"ever"	"if"	"1"	"1"	"1"	"222"	1	"If the cashiers ever love the commentaries, the pedestrians will see the senators."	118
"771"	"experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=0-scope=1-npi_present=0-paradigm=3427"	"NPI"	"simplequestions"	"any"	"?"	"0"	"1"	"0"	"3427"	1	"The adults could clean these gloves."	121
"781"	"experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=1-npi_present=0-paradigm=69"	"NPI"	"sentential_negation_biclausal"	"ever"	"not"	"1"	"1"	"0"	"69"	1	"A cashier had not certainly imagined that the guys did mutter."	122
"801"	"experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=no-licensor=1-scope=0-npi_present=0-paradigm=282"	"NPI"	"determiner_negation_biclausal"	"ever"	"no"	"1"	"0"	"0"	"282"	1	"In the actress's opinion, the actresses clearly did explain that no cashiers might run around the art gallery."	125
"821"	"experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=1-npi_present=0-paradigm=5996"	"NPI"	"sentential_negation_biclausal"	"any"	"really"	"0"	"1"	"0"	"5996"	1	"These boys are really thinking that those children would exercise."	131
"86"	"experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=1-scope=1-npi_present=1-paradigm=694"	"NPI"	"simplequestions"	"ever"	"?"	"1"	"1"	"1"	"694"	1	"Could the actress ever talk to the waiters?"	133
"87"	"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=1918"	"NPI"	"questions"	"any"	"whether"	"1"	"0"	"0"	"1918"	1	"Those teachers wonder whether the teacher has insulted adults."	134
"881"	"experiment=NPI-env=superlative-npi=any-crucial_item=oldest-licensor=1-scope=0-npi_present=0-paradigm=1428"	"NPI"	"superlative"	"any"	"oldest"	"1"	"0"	"0"	"1428"	1	"These pamphlets had criticized the oldest hospital that women have skated around."	134
"891"	"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=1778"	"NPI"	"questions"	"any"	"whether"	"0"	"0"	"1"	"1778"	0	"Any drivers say that the teenagers were wearing the pants."	135
"901"	"experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=0-npi_present=1-paradigm=1491"	"NPI"	"conditional"	"any"	"while"	"0"	"0"	"1"	"1491"	0	"While the dancer scans the commentaries, the actress will respect any guests."	136
"921"	"experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=0-npi_present=0-paradigm=700"	"NPI"	"sentential_negation_biclausal"	"ever"	"really"	"0"	"0"	"0"	"700"	1	"The student has also imagined that the students will really work hard."	137
"941"	"experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=0-npi_present=0-paradigm=795"	"NPI"	"sentential_negation_biclausal"	"ever"	"not"	"1"	"0"	"0"	"795"	1	"The guest had really said that the pedestrian should not donate."	138
"971"	"experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=no-licensor=1-scope=1-npi_present=1-paradigm=339"	"NPI"	"determiner_negation_biclausal"	"ever"	"no"	"1"	"1"	"1"	"339"	1	"In the guy's opinion, no waiters had ever explained that the children have seen."	142
"1011"	"experiment=NPI-env=quantifier-npi=ever-crucial_item=all-licensor=1-scope=0-npi_present=0-paradigm=1208"	"NPI"	"quantifier"	"ever"	"all"	"1"	"0"	"0"	"1208"	1	"All adults who visit some girls have also been at some museums."	145
"1021"	"experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=0-npi_present=1-paradigm=5380"	"NPI"	"sentential_negation_biclausal"	"any"	"really"	"0"	"0"	"1"	"5380"	0	"Any men would explain that these actors had really remembered the boy."	145
"1081"	"experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=no-licensor=1-scope=0-npi_present=1-paradigm=5533"	"NPI"	"determiner_negation_biclausal"	"any"	"no"	"1"	"0"	"1"	"5533"	0	"In the adult's opinion, any actors have imagined that no senators were baking."	151
"109"	"experiment=NPI-env=only-npi=any-crucial_item=_-licensor=1-scope=0-npi_present=0-paradigm=1654"	"NPI"	"only"	"any"	"_"	"1"	"0"	"0"	"1654"	1	"According to the pedestrian, those teenagers only can help the women."	157
"1101"	"experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=1-scope=1-npi_present=1-paradigm=3369"	"NPI"	"simplequestions"	"any"	"?"	"1"	"1"	"1"	"3369"	1	"Can the teachers exit any hospitals?"	157
"111"	"experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=0-npi_present=1-paradigm=5330"	"NPI"	"sentential_negation_biclausal"	"any"	"not"	"1"	"0"	"1"	"5330"	0	"Any ladies might imagine that these teachers are not talking to the drivers."	158
"113"	"experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=0-npi_present=0-paradigm=5478"	"NPI"	"sentential_negation_biclausal"	"any"	"really"	"0"	"0"	"0"	"5478"	1	"The pedestrians had said that the teenagers have really investigated the cafes."	160
"1141"	"experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=0-scope=0-npi_present=1-paradigm=360"	"NPI"	"only"	"ever"	"_"	"0"	"0"	"1"	"360"	0	"According to the actor, the guys had ever worn even the shoes."	161
"116"	"experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=0-npi_present=0-paradigm=348"	"NPI"	"conditional"	"ever"	"while"	"0"	"0"	"0"	"348"	1	"While the waitress hugs the students, the boys will fortunately exit the banks."	163
"1181"	"experiment=NPI-env=superlative-npi=ever-crucial_item=important-licensor=0-scope=1-npi_present=1-paradigm=573"	"NPI"	"superlative"	"ever"	"important"	"0"	"1"	"1"	"573"	0	"The teachers would talk about the important customers that the child has ever investigated."	165
"120"	"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=1413"	"NPI"	"questions"	"any"	"whether"	"1"	"1"	"0"	"1413"	1	"The doctors wonder whether the actor has kissed these customers."	166
"121"	"experiment=NPI-env=adverbs-npi=ever-crucial_item=hardly-licensor=1-scope=0-npi_present=1-paradigm=505"	"NPI"	"adverbs"	"ever"	"hardly"	"1"	"0"	"1"	"505"	0	"The actors ever think that a dancer hardly does stand up."	167
"124"	"experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=0-npi_present=1-paradigm=879"	"NPI"	"conditional"	"ever"	"if"	"1"	"0"	"1"	"879"	0	"If the girl breaks the dishes, the cashier will ever wear the shoes."	169
"1251"	"experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=1-npi_present=0-paradigm=5501"	"NPI"	"determiner_negation_biclausal"	"any"	"some"	"0"	"1"	"0"	"5501"	1	"Just as the driver said, some customers say that these senators reference the commentaries."	169
"128"	"experiment=NPI-env=quantifier-npi=any-crucial_item=the-licensor=0-scope=1-npi_present=0-paradigm=420"	"NPI"	"quantifier"	"any"	"the"	"0"	"1"	"0"	"420"	1	"The woman who helps those guys can kiss students."	170
"131"	"experiment=NPI-env=superlative-npi=ever-crucial_item=longest-licensor=1-scope=0-npi_present=1-paradigm=593"	"NPI"	"superlative"	"ever"	"longest"	"1"	"0"	"1"	"593"	0	"The senators had ever described the longest essays that the woman had hated."	173
"1351"	"experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=1-npi_present=0-paradigm=23"	"NPI"	"conditional"	"ever"	"if"	"1"	"1"	"0"	"23"	1	"If the girl often leaves the pedestrians, the pedestrian will bike to the malls."	178
"140"	"experiment=NPI-env=only-npi=any-crucial_item=_-licensor=0-scope=0-npi_present=0-paradigm=1790"	"NPI"	"only"	"any"	"_"	"0"	"0"	"0"	"1790"	1	"As the waiter knows, these children even skated around the college campuses."	184
"1511"	"experiment=NPI-env=superlative-npi=ever-crucial_item=fastest-licensor=1-scope=1-npi_present=1-paradigm=942"	"NPI"	"superlative"	"ever"	"fastest"	"1"	"1"	"1"	"942"	1	"The girls could respect the fastest patient that the cashier had ever known."	192
"154"	"experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=1-scope=1-npi_present=0-paradigm=152"	"NPI"	"only"	"ever"	"_"	"1"	"1"	"0"	"152"	1	"Just as the woman said, only the teachers clearly skated around the public parks."	194
"159"	"experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=1-scope=1-npi_present=1-paradigm=144"	"NPI"	"only"	"ever"	"_"	"1"	"1"	"1"	"144"	1	"Just as the teacher said, only a guy could ever criticize the cashiers."	197
