item_1_condition,field_1_1,item_2_condition,field_2_1,item_3_condition,field_3_1,item_4_condition,field_4_1,item_5_condition,field_5_1,list
experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=0-npi_present=1-paradigm=1226-acceptability=0,"While the senator breaks the cups, the boy will bike to any hospitals.",experiment=NPI-env=adverbs-npi=any-crucial_item=seldom-licensor=1-scope=0-npi_present=1-paradigm=1647-acceptability=0,The children who would seldom respect cafes investigated any restaurants.,experiment=NPI-env=adverbs-npi=ever-crucial_item=seldom-licensor=1-scope=0-npi_present=1-paradigm=36-acceptability=0,The pedestrians ever thought that the cashier had seldom arrived at the college campuses.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=quantifier-npi=ever-crucial_item=each-licensor=1-scope=1-npi_present=0-paradigm=1565-acceptability=1,Each patient who obviously investigates a lot of malls hugs more than three teenagers.,38
experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=0-scope=0-npi_present=0-paradigm=319-acceptability=1,"As the cashier knows, the patients often drive to even the restaurants.",experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=0-npi_present=0-paradigm=810-acceptability=1,The senator should really think that the waiter had not taken the books.,experiment=NPI-env=adverbs-npi=ever-crucial_item=rarely-licensor=1-scope=0-npi_present=1-paradigm=411-acceptability=0,An adult ever thinks that a driver has rarely grinned.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=no-licensor=1-scope=0-npi_present=0-paradigm=282-acceptability=1,"In the actress's opinion, the actresses clearly did explain that no cashiers might run around the art gallery.",39
experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=1-npi_present=1-paradigm=498-acceptability=0,A dancer had really ever thought that a person did respect a guy.,experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=0-npi_present=0-paradigm=5206-acceptability=1,These guests were imagining that these teenagers have not spun around.,experiment=NPI-env=adverbs-npi=ever-crucial_item=rarely-licensor=1-scope=0-npi_present=0-paradigm=76-acceptability=1,The pedestrians also imagine that a man had rarely investigated the deer.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=quantifier-npi=ever-crucial_item=all-licensor=1-scope=1-npi_present=0-paradigm=1870-acceptability=1,All waiters who obviously care for the drivers walked through a lot of restaurants.,40
experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=1-npi_present=0-paradigm=234-acceptability=1,A guy might really certainly explain that a teacher can sit down.,experiment=NPI-env=quantifier-npi=any-crucial_item=the-licensor=0-scope=0-npi_present=0-paradigm=969-acceptability=1,The student who boycotts more than three restaurants had talked about the boys.,experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=1-npi_present=1-paradigm=1045-acceptability=0,"While the patients care for any dancers, the adults will approach the guys.",attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=quantifier-npi=ever-crucial_item=many-licensor=0-scope=0-npi_present=0-paradigm=1527-acceptability=1,Many boys who had walked through more than three high schools clearly knew more than three senators.,41
experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=0-npi_present=1-paradigm=55-acceptability=0,A driver ever does say that the movies had not won.,experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=0-npi_present=1-paradigm=879-acceptability=0,"If the girl breaks the dishes, the cashier will ever wear the shoes.",experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=651-acceptability=1,The dancers say that the cashier also disliked the books.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=0-npi_present=1-paradigm=1044-acceptability=0,"If the driver tours the schools, the cashiers will kiss any people.",42
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=1-paradigm=114-acceptability=0,The waiters ever wonder whether the actor might criticize the ladies.,experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=0-npi_present=0-paradigm=34-acceptability=1,Every teenager who is at many grocery stores would praise these senators.,experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=1-npi_present=0-paradigm=471-acceptability=1,"If the people fortunately break the plates, the child will describe the reports.",attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=adverbs-npi=any-crucial_item=often-licensor=0-scope=0-npi_present=0-paradigm=1924-acceptability=1,The waiters who had often remembered patients leave those dancers.,43
experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=1-npi_present=0-paradigm=5535-acceptability=1,"As the man knows, some guests imagined that these senators shrug.",experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=1-scope=1-npi_present=1-paradigm=1667-acceptability=1,Is the girl ever boycotting the cafes?,experiment=NPI-env=superlative-npi=any-crucial_item=new-licensor=0-scope=1-npi_present=1-paradigm=1031-acceptability=0,The women might insult the new museum that any waiters have exited.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=1-npi_present=0-paradigm=5814-acceptability=1,The patients are really explaining that these commentaries were winning.,44
experiment=NPI-env=quantifier-npi=ever-crucial_item=all-licensor=1-scope=1-npi_present=0-paradigm=1696-acceptability=1,All teenagers who fortunately forget some dancers had disliked teachers.,experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=0-npi_present=0-paradigm=1992-acceptability=1,"While the cashier hugs the cashiers, the ladies will examine those reports.",experiment=NPI-env=superlative-npi=any-crucial_item=smallest-licensor=1-scope=1-npi_present=1-paradigm=1497-acceptability=1,The plays talked about the smallest guy that any teenagers had approached.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=only-npi=any-crucial_item=_-licensor=1-scope=1-npi_present=1-paradigm=1624-acceptability=1,"In the adult's opinion, only the customers knew any cashiers.",45
experiment=NPI-env=superlative-npi=ever-crucial_item=happy-licensor=0-scope=0-npi_present=0-paradigm=143-acceptability=1,The adult obviously listens to the happy teenagers that the commentary has talked about.,experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=1853-acceptability=0,Any customers say that the men boycott the college campuses.,experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=1-npi_present=0-paradigm=929-acceptability=1,"While the lady obviously wears the shoes, the waiter will like the pants.",attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=1-npi_present=0-paradigm=69-acceptability=1,A cashier had not certainly imagined that the guys did mutter.,46
experiment=NPI-env=superlative-npi=ever-crucial_item=small-licensor=0-scope=0-npi_present=0-paradigm=276-acceptability=1,The actors clearly investigated the small men that the lady had remembered.,experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=1-npi_present=0-paradigm=456-acceptability=1,"While the drivers also go to the restaurants, the people will discuss the newspaper articles.",experiment=NPI-env=only-npi=any-crucial_item=_-licensor=1-scope=0-npi_present=0-paradigm=1625-acceptability=1,"In the lady's opinion, these guests only did investigate the pedestrians.",attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=1-npi_present=0-paradigm=1863-acceptability=1,"While the guy has these dishes, the patient will buy the cups.",47
experiment=NPI-env=adverbs-npi=ever-crucial_item=always-licensor=0-scope=1-npi_present=0-paradigm=122-acceptability=1,The guys always clearly explain that the dancers scream.,experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=0-npi_present=0-paradigm=1016-acceptability=1,"If the waiters arrive at the schools, the students will know these adults.",experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=619-acceptability=1,The patients wonder whether the people also observe the men.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=0-npi_present=0-paradigm=795-acceptability=1,The guest had really said that the pedestrian should not donate.,48
experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=no-licensor=1-scope=0-npi_present=1-paradigm=5533-acceptability=0,"In the adult's opinion, any actors have imagined that no senators were baking.",experiment=NPI-env=only-npi=any-crucial_item=_-licensor=0-scope=1-npi_present=0-paradigm=1231-acceptability=1,"In the driver's opinion, even the dancers had driven to these hospitals.",experiment=NPI-env=superlative-npi=ever-crucial_item=new-licensor=0-scope=0-npi_present=0-paradigm=529-acceptability=1,The teachers might often take the new chairs that the actors have bought.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=no-licensor=1-scope=1-npi_present=0-paradigm=574-acceptability=1,"From what the person heard, no doctor has certainly thought that the reports can win.",49
experiment=NPI-env=quantifier-npi=any-crucial_item=each-licensor=1-scope=1-npi_present=1-paradigm=669-acceptability=1,Each waitress who had respected any teachers is kissing more than three children.,experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=0-npi_present=0-paradigm=5085-acceptability=1,Those teenagers have said that those actresses are really passing the college campus.,experiment=NPI-env=adverbs-npi=any-crucial_item=often-licensor=0-scope=0-npi_present=1-paradigm=1903-acceptability=0,The senators who will often hate women might see any ladies.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=no-licensor=1-scope=1-npi_present=1-paradigm=565-acceptability=1,"As the actress knows, no boys have ever explained that the stories have disagreed.",50
experiment=NPI-env=quantifier-npi=any-crucial_item=each-licensor=1-scope=1-npi_present=1-paradigm=516-acceptability=1,Each cashier who could sell any books should reference actors.,experiment=NPI-env=adverbs-npi=ever-crucial_item=hardly-licensor=1-scope=0-npi_present=1-paradigm=505-acceptability=0,The actors ever think that a dancer hardly does stand up.,experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=1-scope=1-npi_present=1-paradigm=853-acceptability=1,"As the man knows, only the dancer ever cleaned the glasses.",attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=superlative-npi=ever-crucial_item=old-licensor=0-scope=0-npi_present=1-paradigm=363-acceptability=0,The girls had ever attacked the old ladies that the guests had watched.,51
experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=1-npi_present=0-paradigm=837-acceptability=1,Every adult who is scanning the books approaches some customers.,experiment=NPI-env=quantifier-npi=ever-crucial_item=more than three-licensor=0-scope=1-npi_present=0-paradigm=1935-acceptability=1,More than three customers who could obviously see a lot of chairs have observed drivers.,experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=1-scope=0-npi_present=1-paradigm=42-acceptability=0,"As the customer knows, the patients ever loved only the girls.",attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=0-npi_present=1-paradigm=20-acceptability=0,"While the adult dislikes the stories, the doctor will ever like the customers.",52
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=392-acceptability=0,The girls ever say that the students would praise the actresses.,experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=1-paradigm=1917-acceptability=0,Any teachers wonder whether the waitress can describe pedestrians.,experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=1-npi_present=1-paradigm=5345-acceptability=0,These boys had really said that any shoes do shrink.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=superlative-npi=any-crucial_item=nicest-licensor=1-scope=0-npi_present=0-paradigm=1269-acceptability=1,The men have loved the nicest waitress that guests had loved.,53
experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=0-npi_present=0-paradigm=700-acceptability=1,The student has also imagined that the students will really work hard.,experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=0-scope=1-npi_present=0-paradigm=1144-acceptability=1,The patient could fortunately tour the grocery stores.,experiment=NPI-env=adverbs-npi=ever-crucial_item=often-licensor=0-scope=1-npi_present=1-paradigm=482-acceptability=0,A teenager often ever imagined that a cashier discusses the movies.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=no-licensor=1-scope=1-npi_present=1-paradigm=825-acceptability=1,"In the student's opinion, no guests might ever say that the customers might love the dancers.",54
experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=1-npi_present=1-paradigm=518-acceptability=0,A waitress would really ever explain that the woman will run around the college campuses.,experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=1345-acceptability=1,The senators wonder whether the patient should boycott those museums.,experiment=NPI-env=quantifier-npi=ever-crucial_item=all-licensor=1-scope=1-npi_present=1-paradigm=1769-acceptability=1,All adults who have ever visited the doctors can visit many women.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=only-npi=any-crucial_item=_-licensor=1-scope=1-npi_present=0-paradigm=1286-acceptability=1,"In the man's opinion, only the dancers had left those restaurants.",55
experiment=NPI-env=superlative-npi=ever-crucial_item=bad-licensor=0-scope=0-npi_present=0-paradigm=113-acceptability=1,A driver also toured the bad bank that the guests had exited.,experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=0-scope=1-npi_present=0-paradigm=1608-acceptability=1,The man does fortunately tour the banks.,experiment=NPI-env=superlative-npi=any-crucial_item=nice-licensor=0-scope=1-npi_present=1-paradigm=1923-acceptability=0,The men should approach the nice guests that any people have observed.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=1-npi_present=1-paradigm=1204-acceptability=1,"If the student exits any museums, the woman will lift the books.",56
experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=no-licensor=1-scope=1-npi_present=0-paradigm=5404-acceptability=1,"Just as the girl said, no cashiers had imagined that those glasses had shrunk.",experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=1-npi_present=0-paradigm=5220-acceptability=1,Those men are not imagining that those waitresses have worked with the child.,experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=1-npi_present=0-paradigm=431-acceptability=1,"While the teenager clearly bikes to the grocery stores, the person will pass the restaurants.",attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=1-npi_present=1-paradigm=1611-acceptability=0,"While the dancers skate around any schools, the waiters will admire the students.",57
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=1-paradigm=1575-acceptability=0,Any cashiers wonder whether the senator should watch girls.,experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=0-npi_present=1-paradigm=1491-acceptability=0,"While the dancer scans the commentaries, the actress will respect any guests.",experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=0-scope=1-npi_present=1-paradigm=632-acceptability=0,The doctor is ever walking through the art galleries.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=0-scope=1-npi_present=1-paradigm=2359-acceptability=0,The children can clean any books.,58
experiment=NPI-env=quantifier-npi=ever-crucial_item=a-licensor=0-scope=1-npi_present=1-paradigm=1363-acceptability=0,A customer who had ever toured more than three public parks skates around more than three schools.,experiment=NPI-env=superlative-npi=any-crucial_item=happy-licensor=0-scope=1-npi_present=1-paradigm=1425-acceptability=0,The dancers have fled from the happy boys that any cashiers have referenced.,experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=1-scope=0-npi_present=0-paradigm=591-acceptability=1,"Just as the guest said, the drivers also attack only the ladies.",attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=1-scope=1-npi_present=0-paradigm=1385-acceptability=1,Did the pedestrian fortunately break the forks?,59
experiment=NPI-env=quantifier-npi=ever-crucial_item=every-licensor=1-scope=1-npi_present=1-paradigm=1533-acceptability=1,Every teacher who had ever referenced a lot of patients has insulted more than three high schools.,experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=1-npi_present=1-paradigm=5604-acceptability=1,The patients will not say that any waiters were exploring the cafes.,experiment=NPI-env=adverbs-npi=ever-crucial_item=rarely-licensor=1-scope=1-npi_present=1-paradigm=920-acceptability=1,The women rarely ever think that the teenagers laughed.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=0-npi_present=0-paradigm=106-acceptability=1,"Just as the student said, the child had certainly thought that some documentaries win.",60
experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=0-npi_present=1-paradigm=1366-acceptability=0,"If the cashier forgets the pedestrians, the customers will hug any waiters.",experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=0-npi_present=1-paradigm=656-acceptability=0,An actress has ever imagined that the teachers have not debated.,experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=no-licensor=1-scope=0-npi_present=1-paradigm=621-acceptability=0,"From what the patient heard, the adult can ever imagine that no pedestrians should reunite.",attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=adverbs-npi=any-crucial_item=hardly-licensor=1-scope=0-npi_present=1-paradigm=1629-acceptability=0,The pedestrian who might hardly hug adults liked any forks.,61
experiment=NPI-env=adverbs-npi=any-crucial_item=rarely-licensor=1-scope=1-npi_present=1-paradigm=1188-acceptability=1,The guests who will rarely listen to any drivers had discussed public parks.,experiment=NPI-env=quantifier-npi=ever-crucial_item=all-licensor=1-scope=0-npi_present=0-paradigm=1978-acceptability=1,All waitresses who visited a lot of museums obviously drive to a lot of art galleries.,experiment=NPI-env=superlative-npi=ever-crucial_item=good-licensor=0-scope=0-npi_present=1-paradigm=591-acceptability=0,A teacher ever praised the good movie that the guest had forgotten.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=quantifier-npi=any-crucial_item=some-licensor=0-scope=0-npi_present=1-paradigm=718-acceptability=0,Some man who scanned more than three books had watched any students.,62
experiment=NPI-env=quantifier-npi=ever-crucial_item=a-licensor=0-scope=0-npi_present=1-paradigm=1028-acceptability=0,A child who boycotts many hospitals ever did drop by a lot of college campuses.,experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=1-scope=1-npi_present=1-paradigm=2195-acceptability=1,Could the guests attack any doctors?,experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=0-scope=1-npi_present=0-paradigm=1807-acceptability=1,The girl can obviously talk about the actors.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=0-npi_present=1-paradigm=1581-acceptability=0,"While the guy works with the guests, the teenager will tour any banks.",63
experiment=NPI-env=superlative-npi=ever-crucial_item=important-licensor=0-scope=1-npi_present=1-paradigm=573-acceptability=0,The teachers would talk about the important customers that the child has ever investigated.,experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=0-scope=1-npi_present=1-paradigm=3637-acceptability=0,The people did listen to any students.,experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=0-scope=1-npi_present=1-paradigm=1335-acceptability=0,The adult will ever praise the cashiers.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=0-npi_present=1-paradigm=741-acceptability=0,"In the guest's opinion, the teenager had ever explained that some women date.",64
experiment=NPI-env=adverbs-npi=any-crucial_item=barely-licensor=1-scope=0-npi_present=0-paradigm=1060-acceptability=1,A teenager who barely visits children has insulted these movie theaters.,experiment=NPI-env=only-npi=any-crucial_item=_-licensor=1-scope=1-npi_present=1-paradigm=1103-acceptability=1,"As the man knows, only the boys return to any schools.",experiment=NPI-env=adverbs-npi=ever-crucial_item=always-licensor=0-scope=1-npi_present=1-paradigm=200-acceptability=0,The guys always ever explain that the waitresses can clean a fork.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=0-npi_present=0-paradigm=95-acceptability=1,"If the girl cares for the doctors, the waitresses will clearly escape from the waiters.",65
experiment=NPI-env=only-npi=any-crucial_item=_-licensor=0-scope=0-npi_present=1-paradigm=1313-acceptability=0,"From what the guy heard, any people even do tour the schools.",experiment=NPI-env=quantifier-npi=ever-crucial_item=a-licensor=0-scope=1-npi_present=0-paradigm=1321-acceptability=1,A doctor who can clearly run around some hospitals kissed a lot of actresses.,experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=0-npi_present=0-paradigm=44-acceptability=1,"While the customer wears the shoes, the waiters will often break the forks.",attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=adverbs-npi=any-crucial_item=scarcely-licensor=1-scope=1-npi_present=0-paradigm=1942-acceptability=1,The cashiers who scarcely leave that fish respected libraries.,66
experiment=NPI-env=only-npi=any-crucial_item=_-licensor=1-scope=1-npi_present=1-paradigm=1044-acceptability=1,"From what the dancer heard, only the drivers went to any banks.",experiment=NPI-env=quantifier-npi=ever-crucial_item=every-licensor=1-scope=1-npi_present=0-paradigm=1030-acceptability=1,Every waitress who has often lifted more than three forks bikes to the art galleries.,experiment=NPI-env=superlative-npi=ever-crucial_item=oldest-licensor=1-scope=0-npi_present=1-paradigm=191-acceptability=0,The waiter ever respects the oldest waiters that the cashier has disliked.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=1705-acceptability=1,The dancers say that the students did have the shoes.,67
experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=0-npi_present=1-paradigm=510-acceptability=0,The pedestrians have ever imagined that the doctor had really watched the guys.,experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=0-scope=1-npi_present=1-paradigm=3006-acceptability=0,The actresses do kiss any pedestrians.,experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=0-npi_present=0-paradigm=5496-acceptability=1,These cashiers have explained that these actors can really boast.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=superlative-npi=ever-crucial_item=worst-licensor=1-scope=1-npi_present=1-paradigm=448-acceptability=1,The person can go to the worst hospitals that the teacher had ever gone to.,68
experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=1-scope=1-npi_present=0-paradigm=3815-acceptability=1,Had the dancer seen these senators?,experiment=NPI-env=superlative-npi=ever-crucial_item=worst-licensor=1-scope=1-npi_present=0-paradigm=665-acceptability=1,The drivers have investigated the worst actress that the students had obviously worked with.,experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=1-npi_present=1-paradigm=1874-acceptability=1,"If the actresses listen to any teenagers, the actor will drive to the movie theaters.",attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=quantifier-npi=any-crucial_item=more than three-licensor=0-scope=0-npi_present=1-paradigm=859-acceptability=0,More than three teachers who might scan many commentaries sold any dishes.,69
experiment=NPI-env=superlative-npi=ever-crucial_item=important-licensor=0-scope=1-npi_present=0-paradigm=577-acceptability=1,The student had taken the important fork that the waiter had often broken.,experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=1798-acceptability=1,The boys wonder whether the guy was at any college campuses.,experiment=NPI-env=quantifier-npi=any-crucial_item=all-licensor=1-scope=0-npi_present=0-paradigm=956-acceptability=1,All teachers who could talk to a lot of pedestrians left those women.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=1-npi_present=1-paradigm=1021-acceptability=1,"If the woman scans any stories, the patient will arrive at the schools.",70
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=515-acceptability=1,The adults wonder whether the guest often should explore the cafes.,experiment=NPI-env=superlative-npi=ever-crucial_item=fastest-licensor=1-scope=1-npi_present=1-paradigm=942-acceptability=1,The girls could respect the fastest patient that the cashier had ever known.,experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=1-npi_present=0-paradigm=5501-acceptability=1,"Just as the driver said, some customers say that these senators reference the commentaries.",attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=only-npi=any-crucial_item=_-licensor=1-scope=0-npi_present=1-paradigm=1560-acceptability=0,"In the actress's opinion, any customers only have arrived at the malls.",71
experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=0-npi_present=1-paradigm=5330-acceptability=0,Any ladies might imagine that these teachers are not talking to the drivers.,experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=1720-acceptability=1,Those girls wonder whether the teenagers had observed women.,experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=1-npi_present=1-paradigm=4-acceptability=0,The girls say that the senators ever could have the books.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=quantifier-npi=any-crucial_item=more than three-licensor=0-scope=1-npi_present=0-paradigm=624-acceptability=1,More than three patients who described the women will care for senators.,72
experiment=NPI-env=adverbs-npi=any-crucial_item=often-licensor=0-scope=0-npi_present=1-paradigm=1390-acceptability=0,A waiter who often kisses children had walked through any restaurants.,experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=1-npi_present=0-paradigm=5574-acceptability=1,The senators were not explaining that these children have succeeded.,experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=708-acceptability=0,The guests ever say that the boy sells the shoes.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=0-npi_present=0-paradigm=1591-acceptability=1,"While the waitresses visit the senators, the guys will be at those libraries.",73
experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=no-licensor=1-scope=1-npi_present=1-paradigm=5011-acceptability=1,"From what the cashier heard, no doctors imagined that any ladies perform.",experiment=NPI-env=superlative-npi=ever-crucial_item=new-licensor=0-scope=1-npi_present=1-paradigm=535-acceptability=0,The guests liked the new plate that the patient has ever seen.,experiment=NPI-env=adverbs-npi=any-crucial_item=always-licensor=0-scope=1-npi_present=1-paradigm=1718-acceptability=0,The senator who always visited any guests scanned stories.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=1918-acceptability=1,Those teachers wonder whether the teacher has insulted adults.,74
